iter	Passed	Remaining
531	109	505
532	109	505
533	109	505
534	109	505
535	109	504
536	110	504
537	110	504
538	110	504
539	110	503
540	110	503
541	111	503
542	111	504
543	111	504
544	112	504
545	112	504
546	112	504
547	112	504
548	112	504
549	113	503
550	113	503
551	113	503
552	113	503
553	113	502
554	114	502
555	114	502
556	114	502
557	114	501
558	114	501
559	115	501
560	115	501
561	115	501
562	115	500
563	115	500
564	116	500
565	116	499
566	116	499
567	116	499
568	116	499
569	117	499
570	117	499
571	117	499
572	117	499
573	118	499
574	118	499
575	118	499
576	118	498
577	118	498
578	119	498
579	119	498
580	119	498
581	119	497
582	120	498
583	120	498
584	120	497
585	120	497
586	121	497
587	121	497
588	121	497
589	121	496
590	121	496
591	121	496
592	122	495
593	122	495
594	122	495
595	122	495
596	122	495
597	123	494
598	123	494
599	123	494
600	123	494
601	124	494
602	124	493
603	124	493
604	124	493
605	124	493
606	125	492
607	125	492
608	125	492
609	125	492
610	125	492
611	126	491
612	126	491
613	126	491
614	126	491
615	126	491
616	127	491
617	127	490
618	127	490
619	127	490
620	127	490
621	128	489
622	128	489
623	128	489
624	128	488
625	128	488
626	129	488
627	129	488
628	129	488
629	129	487
630	129	487
631	130	487
632	130	487
633	130	487
634	130	487
635	130	486
636	131	486
637	131	486
638	131	485
639	131	485
640	131	485
641	132	485
642	132	485
643	132	484
644	132	484
645	132	484
646	133	484
647	133	483
648	133	483
649	133	483
650	133	483
651	134	483
652	134	482
653	134	482
654	134	482
655	134	482
656	135	481
657	135	481
658	135	481
659	135	481
660	135	480
661	136	480
662	136	480
663	136	480
664	136	479
665	136	479
666	137	479
667	137	478
668	137	478
669	137	478
670	137	478
671	137	477
672	138	477
673	138	477
674	138	477
675	138	476
676	138	476
677	139	476
678	139	476
679	139	475
680	139	475
681	139	475
682	140	474
683	140	475
684	140	474
685	140	474
686	140	474
687	141	474
688	141	473
689	141	473
690	141	473
691	141	473
692	142	472
693	142	472
694	142	472
695	142	472
696	142	472
697	143	471
698	143	471
699	143	471
700	143	471
701	143	470
702	144	470
703	144	470
704	144	470
705	144	469
706	144	469
707	145	469
708	145	469
709	145	468
710	145	468
711	145	468
712	145	468
713	146	468
714	146	467
715	146	467
716	146	467
717	146	467
718	147	466
719	147	466
720	147	466
721	147	466
722	147	465
723	148	465
724	148	465
725	148	465
726	148	465
727	148	464
728	149	464
729	149	464
730	149	464
731	149	463
732	149	463
733	150	463
734	150	463
735	150	463
736	150	463
737	151	462
738	151	462
739	151	462
740	151	462
741	151	461
742	151	461
743	152	461
744	152	461
745	152	461
746	152	460
747	153	460
748	153	460
749	153	460
750	153	459
751	153	459
752	153	459
753	154	459
754	154	459
755	154	458
756	154	458
757	154	458
758	155	458
759	155	457
760	155	457
761	155	457
762	155	457
763	156	456
764	156	456
765	156	456
766	156	456
767	156	456
768	157	456
769	157	455
770	157	455
771	157	455
772	158	455
773	158	454
774	158	454
775	158	454
776	158	454
777	158	454
778	159	453
779	159	453
780	159	453
781	159	453
782	159	452
783	160	452
784	160	452
785	160	452
786	160	452
787	160	451
788	161	451
789	161	451
790	161	451
791	161	451
792	161	450
793	162	450
794	162	450
795	162	450
796	162	449
797	163	449
798	163	449
799	163	449
800	163	449
801	163	448
802	164	448
803	164	448
804	164	448
805	164	448
806	164	447
807	165	447
808	165	447
809	165	447
810	165	446
811	165	446
812	165	446
813	166	446
814	166	445
815	166	445
816	166	445
817	166	445
818	167	445
819	167	444
820	167	444
821	167	444
822	167	444
823	168	443
824	168	443
825	168	443
826	168	443
827	168	443
828	169	442
829	169	442
830	169	442
831	169	442
832	169	441
833	170	441
834	170	441
835	170	441
836	170	441
837	170	440
838	171	440
839	171	440
840	171	440
841	171	440
842	171	439
843	172	439
844	172	439
845	172	439
846	172	438
847	172	438
848	173	438
849	173	438
850	173	437
851	173	437
852	173	437
853	174	437
854	174	437
855	174	437
856	174	436
857	174	436
858	175	436
859	175	436
860	175	436
861	175	436
862	176	436
863	176	435
864	176	435
865	176	435
866	176	435
867	177	434
868	177	434
869	177	434
870	177	434
871	177	433
872	178	433
873	178	433
874	178	433
875	178	433
876	178	433
877	179	432
878	179	432
879	179	432
880	179	432
881	179	431
882	180	431
883	180	431
884	180	431
885	180	431
886	180	430
887	181	430
888	181	430
889	181	430
890	181	429
891	181	429
892	182	429
893	182	429
894	182	429
895	182	429
896	182	428
897	183	428
898	183	428
899	183	428
900	183	427
901	183	427
902	184	427
903	184	427
904	184	427
905	184	427
906	185	427
907	185	427
908	185	426
909	185	426
910	185	426
911	186	426
912	186	425
913	186	425
914	186	425
915	186	425
916	187	425
917	187	424
918	187	424
919	187	424
920	187	424
921	188	424
922	188	423
923	188	423
924	188	423
925	188	423
926	189	422
927	189	422
928	189	422
929	189	422
930	189	422
931	190	421
932	190	421
933	190	421
934	190	421
935	190	421
936	191	420
937	191	420
938	191	420
939	191	420
940	191	419
941	192	419
942	192	419
943	192	419
944	192	419
945	193	419
946	193	419
947	193	418
948	193	418
949	193	418
950	194	418
951	194	417
952	194	417
953	194	417
954	194	417
955	195	417
956	195	416
957	195	416
958	195	416
959	196	416
960	196	416
961	196	416
962	196	416
963	196	416
964	197	415
965	197	415
966	197	415
967	197	415
968	198	415
969	198	415
970	198	414
971	198	414
972	199	414
973	199	414
974	199	414
975	199	414
976	200	414
977	200	414
978	200	413
979	200	413
980	200	413
981	201	413
982	201	413
983	201	412
984	201	412
985	201	412
986	202	412
987	202	412
988	202	411
989	202	411
990	202	411
991	203	411
992	203	410
993	203	410
994	203	410
995	203	410
996	204	409
997	204	409
998	204	409
999	204	409
1000	204	409
1001	205	408
1002	205	408
1003	205	408
1004	205	408
1005	205	408
1006	206	407
1007	206	407
1008	206	407
1009	206	407
1010	206	407
1011	207	406
1012	207	406
1013	207	406
1014	207	406
1015	207	406
1016	208	405
1017	208	405
1018	208	405
1019	208	405
1020	208	404
1021	209	404
1022	209	404
1023	209	404
1024	209	404
1025	210	404
1026	210	403
