iter	RMSE
0	5.148417849
1	5.091908219
2	5.022464877
3	4.977273474
4	4.912053441
5	4.846504984
6	4.791121975
7	4.733541151
8	4.675834451
9	4.625269453
10	4.57950482
11	4.542876104
12	4.491609107
13	4.432764989
14	4.374227893
15	4.318049521
16	4.256302448
17	4.196405784
18	4.153039613
19	4.103282512
20	4.052544269
21	3.992321526
22	3.948620317
23	3.899426157
24	3.853939517
25	3.798635892
26	3.752888694
27	3.720732627
28	3.68218843
29	3.635427939
30	3.584425794
31	3.544142122
32	3.501999204
33	3.464068658
34	3.423988845
35	3.386671104
36	3.35492349
37	3.318334949
38	3.284435168
39	3.25001545
40	3.215105617
41	3.184432846
42	3.149002243
43	3.119555516
44	3.089340134
45	3.059739718
46	3.030859704
47	3.000378733
48	2.975082439
49	2.941616299
50	2.912510309
51	2.878226998
52	2.839251761
53	2.805791195
54	2.772799458
55	2.748397606
56	2.710314762
57	2.678053558
58	2.652543575
59	2.628254605
60	2.602168188
61	2.576879787
62	2.54991161
63	2.519762633
64	2.49654053
65	2.477596331
66	2.452706991
67	2.421787594
68	2.390277439
69	2.368314775
70	2.340002892
71	2.317578859
72	2.295066486
73	2.269593223
74	2.241155597
75	2.21448213
76	2.196340745
77	2.178295284
78	2.154515456
79	2.130839382
80	2.108926855
81	2.091384885
82	2.071097607
83	2.052626442
84	2.035043436
85	2.015999338
86	1.999745919
87	1.982897175
88	1.966647032
89	1.94845181
90	1.930812505
91	1.910433257
92	1.892853872
93	1.870713584
94	1.85188511
95	1.837437579
96	1.821986229
97	1.808101839
98	1.789357539
99	1.775878712
100	1.760077019
101	1.739975369
102	1.723017751
103	1.709575872
104	1.697385087
105	1.680211833
106	1.66704464
107	1.652680679
108	1.640211869
109	1.630175742
110	1.617295595
111	1.602793893
112	1.585942927
113	1.569946304
114	1.557870237
115	1.545879858
116	1.534186415
117	1.520980482
118	1.507531251
119	1.494105258
120	1.481415324
121	1.469167533
122	1.457953069
123	1.445551608
124	1.433389412
125	1.421087347
126	1.410199226
127	1.398673816
128	1.38764694
129	1.376952536
130	1.368905248
131	1.358614042
132	1.348368676
133	1.341021062
134	1.333042179
135	1.323034111
136	1.313108207
137	1.303181821
138	1.292234732
139	1.28241108
140	1.27383814
141	1.263816485
142	1.256978525
143	1.245739067
144	1.236168778
145	1.226585593
146	1.21743684
147	1.208087327
148	1.199035359
149	1.190134066
150	1.179902506
151	1.170677393
152	1.160322457
