unit,year,predicted_crime,lower_bound,upper_bound
Dolnośląskie,2025,25.652586778115335,21.75456247155805,29.55061108467262
Dolnośląskie,2026,25.00996173928233,19.497322898489035,30.522600580075622
Dolnośląskie,2027,24.771200280902075,18.019624132806417,31.522776428997734
Dolnośląskie,2028,24.468235268643042,16.67218665552847,32.26428388175761
Dolnośląskie,2029,23.912157629632645,15.195910302224075,32.62840495704121
Kujawsko-Pomorskie,2025,16.866891927496667,13.734079153649922,19.99970470134341
Kujawsko-Pomorskie,2026,16.019189566101744,9.242605704639606,22.79577342756388
Kujawsko-Pomorskie,2027,15.637259282901326,6.580236494651267,24.694282071151385
Kujawsko-Pomorskie,2028,15.411662976773655,4.542567580084352,26.28075837346296
Kujawsko-Pomorskie,2029,15.316062626746927,2.89652931434809,27.735595939145764
Lubelskie,2025,14.537977865285626,12.86787636873399,16.20807936183726
Lubelskie,2026,13.520421367147776,11.158541180184852,15.8823015541107
Lubelskie,2027,12.495005985766113,9.602305339941863,15.387706631590364
Lubelskie,2028,11.565005317251916,8.224802324148646,14.905208310355187
Lubelskie,2029,10.786057594247183,7.0515971186335955,14.52051806986077
Lubuskie,2025,22.977722076898775,18.250367484141712,27.70507666965584
Lubuskie,2026,22.07552673394579,15.390037754722012,28.761015713169567
Lubuskie,2027,21.1733313909928,12.98531305094349,29.36134973104211
Lubuskie,2028,20.27113604803981,10.816426862525686,29.725845233553933
Lubuskie,2029,19.36894070508682,8.798254481936198,29.939626928237445
Mazowieckie,2025,20.416865753686427,18.091026443120388,22.742705064252466
Mazowieckie,2026,18.9965351517443,14.766656366537308,23.226413936951293
Mazowieckie,2027,18.073400363224778,12.140923289456389,24.005877436993167
Mazowieckie,2028,17.312306757597135,9.875369986062584,24.749243529131686
Mazowieckie,2029,16.469612652493804,7.696679811581879,25.24254549340573
Małopolskie,2025,22.832449841236524,18.743775042999168,26.92112463947388
Małopolskie,2026,21.200762589616602,15.418503237816255,26.98302194141695
Małopolskie,2027,19.872237559500277,12.79044507332675,26.954030045673804
Małopolskie,2028,18.93754078855797,10.760191192083258,27.114890385032684
Małopolskie,2029,18.332644392034467,9.190089605285504,27.47519917878343
Opolskie,2025,15.067131214903796,12.349926991535416,17.784335438272176
Opolskie,2026,14.457078072775502,10.614371008350485,18.29978513720052
Opolskie,2027,13.847024930647208,9.140689161232439,18.55336070006198
Opolskie,2028,13.236971788518943,7.8025633417821805,18.671380235255704
Opolskie,2029,12.626918646390635,6.551065294189411,18.70277199859186
Podkarpackie,2025,7.407814208332464,4.313686238080793,10.501942178584136
Podkarpackie,2026,2.4846036702433736,0.0,6.860361409491224
Podkarpackie,2027,0.0,0.0,2.466659697313256
Podkarpackie,2028,0.0,0.0,0.0
Podkarpackie,2029,0.0,0.0,0.0
Podlaskie,2025,12.538903735698263,10.40356795988227,14.674239511514255
Podlaskie,2026,12.167274902924355,9.147454088544904,15.187095717303805
Podlaskie,2027,12.596325526052766,8.897815471119962,16.29483558098557
Podlaskie,2028,12.893511451536291,8.622839899904307,17.164183003168276
Podlaskie,2029,12.680725743090974,7.905969793579165,17.455481692602785
Pomorskie,2025,18.549781304022392,13.768943733805134,23.33061887423965
Pomorskie,2026,15.202584806828431,8.441459475524349,21.963710138132512
Pomorskie,2027,12.403111160563629,4.122457586213196,20.683764734914064
Pomorskie,2028,10.794134786393158,1.2324596459586399,20.355809926827675
Pomorskie,2029,10.430014705048755,0.0,21.120292501439472
Warmińsko-Mazurskie,2025,23.1007707995686,20.704711033725086,25.496830565412115
Warmińsko-Mazurskie,2026,26.190189816169273,22.801649599056873,29.578730033281673
Warmińsko-Mazurskie,2027,29.992095809892316,25.841998557479762,34.14219306230487
Warmińsko-Mazurskie,2028,34.47456441242099,29.68244488073396,39.26668394410802
Warmińsko-Mazurskie,2029,39.60183725759231,34.24408474301398,44.95958977217064
Wielkopolskie,2025,19.406390827074087,17.08609785021722,21.726683803930953
Wielkopolskie,2026,19.818239261202642,17.213740347802013,22.42273817460327
Wielkopolskie,2027,20.233054662842434,17.100552850598625,23.365556475086244
Wielkopolskie,2028,20.715796531538924,17.25668770667055,24.174905356407297
Wielkopolskie,2029,21.19600331740008,17.38429289320845,25.00771374159171
Zachodniopomorskie,2025,22.582541400019295,17.301029451227016,27.864053348811574
Zachodniopomorskie,2026,27.7423777923255,20.2731919645079,35.211563620143096
Zachodniopomorskie,2027,34.917182964185315,25.76933592809497,44.065030000275655
Zachodniopomorskie,2028,42.59136990654741,32.028346008962856,53.15439380413197
Zachodniopomorskie,2029,49.70267784021581,37.892858098738884,61.51249758169274
Łódzkie,2025,18.615398798962204,14.99568995293987,22.235107644984538
Łódzkie,2026,17.909256423198226,12.790215081311576,23.028297765084876
Łódzkie,2027,17.09674936754596,10.82722973762877,23.366268997463152
Łódzkie,2028,16.284242311893696,9.044824619849027,23.523660003938364
Łódzkie,2029,15.471735256241432,7.377820217778176,23.56565029470469
