year,unit,crime,unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,predicted_crime,R2,MAE,RMSE,MAPE,Model
2021,Dolnośląskie,28.19,4.9,145.3,6242.88,158849628.63,831900717.66,3131.0,32.5,104.6,26.49000194444444,-2.227464406580211,1.3711833829365148,1.6468022511033882,4.826507313096052,RandomForest
2022,Dolnośląskie,29.03,4.5,144.8,6945.01,195567272.07,956111870.98,3196.0,41.8,113.4,26.42705869047618,-2.227464406580211,1.3711833829365148,1.6468022511033882,4.826507313096052,RandomForest
2023,Dolnośląskie,27.51,4.4,144.3,7850.3,217284496.82,1150000219.75,3076.0,42.8,110.7,26.42705869047618,-2.227464406580211,1.3711833829365148,1.6468022511033882,4.826507313096052,RandomForest
2024,Dolnośląskie,26.53,4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,26.628852857142856,-2.227464406580211,1.3711833829365148,1.6468022511033882,4.826507313096052,RandomForest
2021,Kujawsko-Pomorskie,20.2,8.1,112.3,5286.83,93612319.81,543169296.31,-1054.0,29.1,105.1,19.611632063492056,-1.8603955116058062,1.7481285615079418,2.2751633721544673,7.977544305252795,RandomForest
2022,Kujawsko-Pomorskie,22.53,7.3,111.7,5888.55,107056925.59,601704384.01,-947.0,38.0,115.6,18.921951230158726,-1.8603955116058062,1.7481285615079418,2.2751633721544673,7.977544305252795,RandomForest
2023,Kujawsko-Pomorskie,21.63,7.1,111.1,6721.48,118281907.28,692634426.33,-995.0,37.9,110.8,18.921951230158726,-1.8603955116058062,1.7481285615079418,2.2751633721544673,7.977544305252795,RandomForest
2024,Kujawsko-Pomorskie,19.01,7.3,110.4,7710.78,141742115.85,869075830.34,-930.0,37.7,103.6,18.921951230158726,-1.8603955116058062,1.7481285615079418,2.2751633721544673,7.977544305252795,RandomForest
2021,Lubelskie,16.26,8.7,81.1,5318.68,98187842.86,573422059.47,-3730.0,27.2,104.8,15.275505158730157,-2.163827718493185,0.5208590873015875,0.6552942217755983,3.1988876471389864,RandomForest
2022,Lubelskie,15.79,8.0,80.6,5909.6,196419771.86,623286256.02,-3185.0,38.2,115.0,15.621058492063492,-2.163827718493185,0.5208590873015875,0.6552942217755983,3.1988876471389864,RandomForest
2023,Lubelskie,16.49,7.6,80.0,6774.52,195873957.79,771189555.29,-2889.0,36.5,110.7,15.64590849206349,-2.163827718493185,0.5208590873015875,0.6552942217755983,3.1988876471389864,RandomForest
2024,Lubelskie,15.56,7.4,79.5,7771.05,200639476.02,943355612.19,-2832.0,35.8,102.8,15.64590849206349,-2.163827718493185,0.5208590873015875,0.6552942217755983,3.1988876471389864,RandomForest
2021,Lubuskie,27.52,5.1,70.5,5286.5,75179337.67,284613511.94,-1160.0,29.8,105.3,25.238313134920627,0.016154820873314324,0.8982495238095174,1.2727026195275661,3.4296266189019438,RandomForest
2022,Lubuskie,25.09,4.4,70.1,6014.38,84125370.87,304813828.73,-1335.0,37.5,113.6,25.14840075396824,0.016154820873314324,0.8982495238095174,1.2727026195275661,3.4296266189019438,RandomForest
2023,Lubuskie,25.25,4.3,69.7,6882.46,86900969.22,370875587.28,-1421.0,36.0,112.4,25.38416980158729,0.016154820873314324,0.8982495238095174,1.2727026195275661,3.4296266189019438,RandomForest
2024,Lubuskie,23.99,4.5,69.3,7887.19,107812864.74,447974594.97,-1059.0,32.8,104.4,25.108740674603165,0.016154820873314324,0.8982495238095174,1.2727026195275661,3.4296266189019438,RandomForest
2021,Mazowieckie,21.94,4.7,155.0,7108.2,208779440.56,1275004020.13,9103.0,28.2,104.9,22.619824801587303,-2.897513298159098,1.0162633432539714,1.2238821180395125,4.485260658077761,RandomForest
2022,Mazowieckie,23.3,4.3,155.0,7913.14,330149024.6,1447160825.96,8019.0,49.5,113.5,21.16847349206349,-2.897513298159098,1.0162633432539714,1.2238821180395125,4.485260658077761,RandomForest
2023,Mazowieckie,22.13,4.0,155.0,8928.6,328597635.6,1709046677.54,8049.0,48.2,111.9,21.18684349206349,-2.897513298159098,1.0162633432539714,1.2238821180395125,4.485260658077761,RandomForest
2024,Mazowieckie,21.68,4.0,154.9,10018.71,359213426.01,2226515394.51,7355.0,49.4,103.8,21.369454444444436,-2.897513298159098,1.0162633432539714,1.2238821180395125,4.485260658077761,RandomForest
