unit,year,predicted_crime,lower_bound,upper_bound
Dolnośląskie,2025,25.652587553521858,21.754564153551296,29.55061095349242
Dolnośląskie,2026,25.00996245430959,19.49732489562354,30.522600012995643
Dolnośląskie,2027,24.771201031623097,18.019626453781704,31.52277560946449
Dolnośląskie,2028,24.4682360566872,16.672189256746076,32.26428285662832
Dolnośląskie,2029,23.912158419295974,15.195913119076948,32.628403719515
Kujawsko-Pomorskie,2025,16.866895575762854,13.734081459795895,19.999709691729812
Kujawsko-Pomorskie,2026,16.019195123608213,9.242609392569555,22.79578085464687
Kujawsko-Pomorskie,2027,15.637265236753791,6.580240115057835,24.69429035844975
Kujawsko-Pomorskie,2028,15.411668940024398,4.542570820127487,26.28076705992131
Kujawsko-Pomorskie,2029,15.316068598764929,2.896532221554166,27.73560497597569
Lubelskie,2025,14.516305634849033,12.846204138297397,16.186407131400667
Lubelskie,2026,13.478390514526836,11.116510327563912,15.84027070148976
Lubelskie,2027,12.44318153500555,9.5504808891813,15.3358821808298
Lubelskie,2028,11.519083951602568,8.178880958499297,14.859286944705838
Lubelskie,2029,10.76018956768948,7.025729092075893,14.494650043303068
Lubuskie,2025,22.977722076898775,18.250367484141712,27.70507666965584
Lubuskie,2026,22.07552673394579,15.390037754722012,28.761015713169567
Lubuskie,2027,21.1733313909928,12.98531305094349,29.36134973104211
Lubuskie,2028,20.27113604803981,10.816426862525686,29.725845233553933
Lubuskie,2029,19.36894070508682,8.798254481936198,29.939626928237445
Mazowieckie,2025,20.41687851614335,18.09103899046539,22.74271804182131
Mazowieckie,2026,18.996536857683694,14.766656556877432,23.226417158489955
Mazowieckie,2027,18.073398284384695,12.140917936561653,24.005878632207736
Mazowieckie,2028,17.312303197779492,9.875361253777184,24.7492451417818
Mazowieckie,2029,16.469608433181598,7.696668547345247,25.24254831901795
Małopolskie,2025,23.210300742658763,19.12162548499054,27.298976000326988
Małopolskie,2026,22.01578675731816,16.233526755784446,27.798046758851875
Małopolskie,2027,21.276843791689565,14.195050509758426,28.358637073620706
Małopolskie,2028,20.85362262209984,12.676272106763388,29.030973137436295
Małopolskie,2029,20.504371584051555,11.36181576998393,29.64692739811918
Opolskie,2025,14.952661552228733,12.07004852003321,17.835274584424255
Opolskie,2026,14.311930243175226,10.235299797970885,18.388560688379567
Opolskie,2027,13.67119893412169,8.678366703798863,18.664031164444516
Opolskie,2028,13.030467625068184,7.265241560677136,18.79569368945923
Opolskie,2029,12.389736316014677,5.944017623198696,18.835455008830657
Podkarpackie,2025,7.407814207482421,4.313686237230749,10.501942177734092
Podkarpackie,2026,2.4846036669616858,0.0,6.860361406209536
Podkarpackie,2027,0.0,0.0,2.4666596894506956
Podkarpackie,2028,0.0,0.0,0.0
Podkarpackie,2029,0.0,0.0,0.0
Podlaskie,2025,12.47496662026819,10.339631182837682,14.6103020576987
Podlaskie,2026,12.077447638451083,9.05762730262097,15.097267974281197
Podlaskie,2027,12.480444836576488,8.78193536774453,16.178954305408446
Podlaskie,2028,12.752584452442072,8.481913577581052,17.02325532730309
Podlaskie,2029,12.514777220206554,7.740022027347685,17.289532413065423
Pomorskie,2025,18.528260795932425,13.747423225715167,23.309098366149684
Pomorskie,2026,15.186473354880816,8.425348023576733,21.947598686184897
Pomorskie,2027,12.38565696601987,4.105003391669436,20.666310540370304
Pomorskie,2028,10.758430328391093,1.1967551879565743,20.32010546882561
Pomorskie,2029,10.36082707538313,0.0,21.051104871773845
Warmińsko-Mazurskie,2025,23.100771245805205,20.704711161537574,25.496831330072837
Warmińsko-Mazurskie,2026,26.190190773507815,22.80165010607571,29.578731440939922
Warmińsko-Mazurskie,2027,29.992097341130123,25.84199953719082,34.14219514506942
Warmińsko-Mazurskie,2028,34.47456658389487,29.682446415359607,39.26668675243013
Warmińsko-Mazurskie,2029,39.60184014047658,34.24408691388028,44.959593367072884
Wielkopolskie,2025,19.405159245206196,17.084866268349334,21.72545222206306
Wielkopolskie,2026,19.817414021001085,17.212915107600455,22.421912934401714
Wielkopolskie,2027,20.232182709204107,17.099680896960297,23.364684521447916
Wielkopolskie,2028,20.714897630393597,17.255788805525228,24.174006455261967
Wielkopolskie,2029,21.195096537374706,17.38338611318308,25.006806961566333
Zachodniopomorskie,2025,22.536037961840634,17.254526013048356,27.817549910632913
Zachodniopomorskie,2026,27.650696688217693,20.181510860400095,35.11988251603529
Zachodniopomorskie,2027,34.78975205294961,25.641905016859265,43.93759908903995
Zachodniopomorskie,2028,42.44002485221165,31.87700095462709,53.00304874979621
Zachodniopomorskie,2029,49.5383140919177,37.72849435044077,61.34813383339463
Łódzkie,2025,18.615398805808397,14.995689959786063,22.23510765183073
Łódzkie,2026,17.909256428855045,12.790215086968395,23.028297770741695
Łódzkie,2027,17.096749372013406,10.827229742096215,23.366269001930597
Łódzkie,2028,16.284242315171767,9.044824623127099,23.523660007216435
Łódzkie,2029,15.471735258330128,7.377820219866871,23.565650296793386
Śląskie,2025,20.20231808952836,16.665051807823794,23.73958437123293
Śląskie,2026,16.080386808796877,11.077936859485227,21.082836758108527
Śląskie,2027,11.748503684825852,5.621778765013295,17.87522860463841
Śląskie,2028,7.476901279948109,0.4023687165389731,14.551433843357245
Śląskie,2029,3.4216316217950933,0.0,11.331199482204429
Świętokrzyskie,2025,14.466684714031443,11.119516451380772,17.813852976682114
Świętokrzyskie,2026,12.9686915771338,8.23508082454843,17.70230232971917
Świętokrzyskie,2027,11.578510077889813,5.781044585496802,17.375975570282826
Świętokrzyskie,2028,10.139309867237921,3.4449733419365787,16.833646392539265
Świętokrzyskie,2029,8.651090945178131,1.1665951777613595,16.135586712594904
